filename,type,source,year,name,con,author,detection,length
beaufort_1999_oxymoron_e02.txt,Beaufort,Russ + digital con,1999,ND99,E02,OXYMORON,labeled,80
beaufort_2000_brasspounder_e07.txt,Beaufort,Russ + digital con,2000,MA00,E07,BRASSPOUNDER,labeled,112
beaufort_2000_hano_e05.txt,Beaufort,Russ + digital con,2000,JA00,E05,HANO,labeled,52
beaufort_2000_nilveronus_xs2.txt,Beaufort,Russ + digital con,2000,MA00,XS2,NIL VERONUS,labeled,68
beaufort_2000_thedoc_e01.txt,Beaufort,Russ + digital con,2000,ND00,E01,THE DOC,labeled,82
beaufort_2001_gman_e04.txt,Beaufort,Russ + digital con,2001,JA01,E04,G-MAN,labeled,108
beaufort_2001_hano_e03.txt,Beaufort,Russ + digital con,2001,ND01,E03,HANO,labeled,88
beaufort_2001_micropod_e20.txt,Beaufort,Russ + digital con,2001,MJ01,E20,MICROPOD,labeled,51
beaufort_2001_thedoc_e01.txt,Beaufort,Russ + digital con,2001,MA01,E01,THE DOC,labeled,75
beaufort_2001_therat_xs2.txt,Beaufort,Russ + digital con,2001,ND01,XS2,THE RAT,labeled,118
beaufort_2002_aries_x12.txt,Beaufort,Russ + digital con,2002,JA02,X12,ARIES,labeled,101
beaufort_2002_fizzy_e04.txt,Beaufort,Russ + digital con,2002,JA02,E04,FIZZY,labeled,117
beaufort_2002_fizzy_e07.txt,Beaufort,Russ + digital con,2002,MA02,E07,FIZZY,labeled,70
beaufort_2002_rishu_e03.txt,Beaufort,Russ + digital con,2002,ND02,E03,RISHU,labeled,72
beaufort_2003_bozol_e02.txt,Beaufort,Russ + digital con,2003,ND03,E02,BOZOL,labeled,84
beaufort_2003_gman_e02.txt,Beaufort,Russ + digital con,2003,MJ03,E02,G-MAN,labeled,127
beaufort_2003_gman_e08.txt,Beaufort,Russ + digital con,2003,MA03,E08,G-MAN,labeled,109
beaufort_2003_hano_x10.txt,Beaufort,Russ + digital con,2003,MJ03,X10,HANO,labeled,179
beaufort_2003_oz_e08.txt,Beaufort,Russ + digital con,2003,SO03,E08,OZ,labeled,146
beaufort_2003_scryer_xs1.txt,Beaufort,Russ + digital con,2003,JF03,XS1,SCRYER,labeled,103
beaufort_2003_sussi_x12.txt,Beaufort,Russ + digital con,2003,JA03,X12,SUSSI,labeled,105
