filename,type,source,year,name,con,author,detection,length
bifid_1999_lionel_e23.txt,Bifid,Russ + digital con,1999,ND99,E23,LIONEL,labeled,143
bifid_2000_alchemyst_e16.txt,Bifid,Russ + digital con,2000,MJ00,E16,ALCHEMYST,labeled,135
bifid_2000_apexdx_e21.txt,Bifid,Russ + digital con,2000,MA00,E21,APEX DX,labeled,133
bifid_2000_bozol_e21.txt,Bifid,Russ + digital con,2000,ND00,E21,BOZOL,labeled,131
bifid_2000_kosty_e19.txt,Bifid,Russ + digital con,2000,SO00,E19,KOSTY,labeled,137
bifid_2000_marshen_e16.txt,Bifid,Russ + digital con,2000,JA00,E16,MARSHEN,labeled,139
bifid_2001_capybara_e22.txt,Bifid,Russ + digital con,2001,MJ01,E22,CAPYBARA,labeled,142
bifid_2001_crotalus_e18.txt,Bifid,Russ + digital con,2001,JA01,E18,CROTALUS,labeled,129
bifid_2001_gman_e17.txt,Bifid,Russ + digital con,2001,JF01,E17,G-MAN,labeled,139
bifid_2001_kosty_e17.txt,Bifid,Russ + digital con,2001,ND01,E17,KOSTY,labeled,129
bifid_2001_ooboo_e13.txt,Bifid,Russ + digital con,2001,MA01,E13,OOBOO,labeled,127
bifid_2001_scryer_e18.txt,Bifid,Russ + digital con,2001,SO01,E18,SCRYER,labeled,137
bifid_2002_alchemyst_e15.txt,Bifid,Russ + digital con,2002,ND02,E15,ALCHEMYST,labeled,144
bifid_2002_alchemyst_e18.txt,Bifid,Russ + digital con,2002,SO02,E18,ALCHEMYST,labeled,115
bifid_2002_anchises_e13.txt,Bifid,Russ + digital con,2002,JF02,E13,ANCHISES,labeled,137
bifid_2002_kosty_e16.txt,Bifid,Russ + digital con,2002,MA02,E16,KOSTY,labeled,147
bifid_2002_labronicus_e20.txt,Bifid,Russ + digital con,2002,MJ02,E20,LABRONICUS,labeled,140
bifid_2002_ooboo_e21.txt,Bifid,Russ + digital con,2002,JA02,E21,OOBOO,labeled,142
bifid_2003_daedalus_e12.txt,Bifid,Russ + digital con,2003,MJ03,E12,DAEDALUS,labeled,135
bifid_2003_gman_e17.txt,Bifid,Russ + digital con,2003,ND03,E17,G-MAN,labeled,146
bifid_2003_gman_e20.txt,Bifid,Russ + digital con,2003,SO03,E20,G-MAN,labeled,141
bifid_2003_ooboo_e15.txt,Bifid,Russ + digital con,2003,JF03,E15,OOBOO,labeled,129
bifid_2003_revlosdalg_e18.txt,Bifid,Russ + digital con,2003,JA03,E18,REVLOS DALG,labeled,113
bifid_2003_whois_e17.txt,Bifid,Russ + digital con,2003,MA03,E17,WHOIS,labeled,126
