filename,type,source,year,name,con,author,detection,length
porta_2000_brasspounder_e03.txt,Porta,Russ + digital con,2000,SO00,E03,BRASSPOUNDER,labeled,120
porta_2000_oz_e02.txt,Porta,Russ + digital con,2000,MJ00,E02,OZ,labeled,97
porta_2000_soldjerc_e07.txt,Porta,Russ + digital con,2000,JF00,E07,SOLDJER C,labeled,180
porta_2001_brasspounder_e01.txt,Porta,Russ + digital con,2001,MJ01,E01,BRASSPOUNDER,labeled,120
porta_2001_brasspounder_e02.txt,Porta,Russ + digital con,2001,SO01,E02,BRASSPOUNDER,labeled,129
porta_2001_marshen_e02.txt,Porta,Russ + digital con,2001,JF01,E02,MARSHEN,labeled,94
porta_2002_marshen_e02.txt,Porta,Russ + digital con,2002,SO02,E02,MARSHEN,labeled,92
porta_2002_marshen_e06.txt,Porta,Russ + digital con,2002,MA02,E06,MARSHEN,labeled,89
porta_2003_aurion_e02.txt,Porta,Russ + digital con,2003,MA03,E02,AURION,labeled,84
porta_2003_marshen_e01.txt,Porta,Russ + digital con,2003,SO03,E01,MARSHEN,labeled,109
porta_2003_sussi_x12.txt,Porta,Russ + digital con,2003,SO03,X12,SUSSI,labeled,132
