filename,type,source,year,name,con,author,detection,length
quagmirei_1999_crotalus_e13.txt,Quagmire I,Russ + digital con,1999,SO99,E13,CROTALUS,labeled,98
quagmirei_2000_dakota_e14.txt,Quagmire I,Russ + digital con,2000,MA00,E14,DAKOTA,labeled,183
quagmirei_2000_oz_e10.txt,Quagmire I,Russ + digital con,2000,SO00,E10,OZ,labeled,86
quagmirei_2001_gman_e11.txt,Quagmire I,Russ + digital con,2001,MA01,E11,G-MAN,labeled,138
quagmirei_2001_marshen_e11.txt,Quagmire I,Russ + digital con,2001,SO01,E11,MARSHEN,labeled,108
quagmirei_2002_capybara_e11.txt,Quagmire I,Russ + digital con,2002,JA02,E11,CAPYBARA,labeled,122
quagmirei_2002_elcondor_e14.txt,Quagmire I,Russ + digital con,2002,MA02,E14,EL CONDOR,labeled,158
quagmirei_2003_angoka_e11.txt,Quagmire I,Russ + digital con,2003,JF03,E11,ANGO-KA,labeled,114
quagmirei_2003_aurion_e15.txt,Quagmire I,Russ + digital con,2003,SO03,E15,AURION,labeled,175
quagmirei_2003_gman_e14.txt,Quagmire I,Russ + digital con,2003,JA03,E14,G-MAN,labeled,169
